Sample,Center,Passage,Amelogenin,CSF1PO,D13S317,D16S539,D18S51,D19S433,D21S11,D2S1338,D3S1358,D5S818,D7S820,D8S1179,FGA,TH01,TPOX,vWA,Penta E,Penta D
J000077451,JAX,P0,"X,Y",12,8,13,14,14,"31,31.2","17,19",15,"11,12","11,12","12,15",23,"7,9.3",8,18,,
J000077591,JAX,P0,"X,Y",10,11,9,18,"13,15",28,",","17,18",12,",","11,14","21,22","7,8","8,11","16,18",,
J000077608,JAX,P0,"X,Y",10,11,"9,11",12,"13,15","28,31.2",26,"17,18",12,"8,10","11,14","21,22","7,8","8,11","16,18",,
J000077636,JAX,P0,"X,Y",",","11,12","9,11","12,18","13,15","28,31.2",",","17,18",12,"8,10","11,14","21,22","7,8","8,11","16,18",,
J000077712,JAX,P0,X,15,13,12,"18,19","12,14","29,30,31","17,25",15,12,"11,12","13,16","19,22",7,"8,11",14,,
J000077960,JAX,P1,X,10,9,13,16,"12,14",29,"20,23","15,16","12,13","9,12","14,15",18,7,"8,9",15,,
J000077973,JAX,P1,X,10,9,"12,13",12,"12,14","27,29","20,23","15,16",12,12,"14,15",18,7,"8,9","15,19",,
J000078336,JAX,P0,X,11,12,"9,13",15,"13,14","29,30","17,19","15,17","11,12","7,12","13,15","18,23","7,10","8,11",17,,
J000078366,JAX,P0,X,11,"9,14",12,17,"13,14","29,31",23,15,11,"9,11","13,15","21,22",9.3,8,14,,
J000078571,JAX,P0,X,11,11,"9,12",14,14,32.2,"18,21","15,18","11,13",11,"11,12","22,24",6,8,"17,19",,
J000078604,JAX,P0,X,11,"12,14",13,"13,15","12,14","29,31",17,"14,17","11,12","8,10","11,14","20,24",8,"9,11","15,16",,
J000078673,JAX,P0,"X,Y","10,11",12,"11,12","16,17","12,13","28,33.2","19,20",16,10,9,"12,14","22,24","6,9.3","9,11",17,,
J000078984,JAX,P1,"X,Y",12,12,13,12,"10.2,14,15,15.2","30.2,31.2","17,20","14,16,18",11,"9,12","9,12","21,23","7,9","8,9",17,,
J000079378,JAX,P1,X,"8,12","8,12",9,15,"14,15","28,32.2",16,16,"11,12",10,15,24,"9.3,10","8,9",18,,
J000079689,JAX,P0,X,"11,12","12,13","11,12","13,17","14,15.2","29,30","16,20","11,17",11,"8,9",13,"23,24","9,9.3","6,8","16,17",,
J000079754,JAX,P1,X,"10,13","10,11",12,18,"14,15","28,13.2",17,14,"9,11","8,10",13,25,9.3,11,"15,18",,
J000080599,JAX,P1,X,"10,11","8,9","11,13","14,19","10.2,13,14","30,31",17,"15,16","11,12","10,12","13,14","20,22","8,9.3","8,12","14,16",,
J000080739,JAX,P0,X,12,10,11,"12,15",13,30,19,17,14,11,"11,13","19,22",9.3,11,"18,19",,
J000092712,JAX,P1,X,"11,12",11,"9,11","13.2,15","12,13,14","28,30",17,"14,15",12,"8,11","12,15",23,7,"8,11",16,,
J000093018,JAX,P0,X,"10,12","11,13","10,12","16,18","13,15","27,29","19,20",15,"11,12",11,"10,13","23,24","7,9.3","9,11","15,17",,
J000093555,JAX,P1,"X,Y",10,11,"9,12",14,"13,13.2","29,30",23,"15,16","11,12",12,"14,15",23,"8,9.3","9,11","16,17",,
J000093572,JAX,P1,"X,Y",11,12,"12,13",12,14,"30,30.2","24,25",15,"12,13","9,10","10,14","19,21","6,9.3",8,"18,19",,
J000093933,JAX,P0,X,"10,11",11,11,"12,17","14,15","30,31.2","17,24",15,"9,13","10,11","10,12",20,9.3,8,16,,
J000094100,JAX,P0,X,"12,13","8,12",13,13,"13,15","28,30","17,18","15,16","11,16",11,"12,13","21,22",6,"8,9","15,19",,
J000094290,JAX,P1,X,"12,13",9,11,15,"10.2,13,16","28,33.2",23,16,10,8,"11,13",24,10,8,"18,19",,
J000094707,JAX,P0,X,"10,12",11,"11,13",18,15,30,"24,25",16,"11,12","10,12",13,"22,23",9.3,"8,9","15,18",,
J000094918,JAX,P1,"X,Y",10,12,"10,12",17,"13,16",29,"17,19",15,11,"8,10","13,14",23,9,"10,11","16,17",,
J000095054,JAX,P0,"X,Y","10,12",12,12,"17,18",14,"30,32.2","21,24",15,"12,13","10,12","13,15",21,7,11,"15,18",,
J000095633,JAX,P1,X,9,13,"10,13","14,19","14,15",29,"18,21",18,11,"9,12",12,24,6,8,"16,20",,
J000095635,JAX,P0,X,10,11,"12,13","14,15","13,14",30,"19,25","15,16",11,10,13,"23,24",9.3,"8,9","14,18",,
J000096053,JAX,P0,X,"10,12",8,11,15,"15,16","30,32","17,26","15,17","11,12","11,12","10,15",20,9,9,"15,16",,
J000096652,JAX,P1,X,"11,12",12,9,"14,15",14,"30,31","16,23",16,12,9,"11,13","22,23",6,"11,12","16,17",,
J000097253,JAX,P0,X,11,"8,10","10,12","14,17",15,"30,32","23,25",15,12,"10,11",13,"24,25","7,9",8,16,,
J000098169,JAX,P0,"X,Y",11,"11,13",11,"13,16",13,"28,31.2",16,"15,16",12,"10,11","13,15",21,9,8,17,,
J000099207,JAX,P4,X,"11,12",12,11,"12,14","14,15","30,31",20,16,"11,13",9,14,20,9.3,8,19,,
J000099257,JAX,P1,X,12,8,12,"16,18","12,13",32,"16,19",16,12,11,"11,13",25,10,8,"17,18",,
J000099318,JAX,P0,X,10,"8,12","9,11",11,"14,15.2","30,31.2","17,19","16,17",12,"8,9",13,"20,23","7,9.3","8,11","18,19",,
J000099327,JAX,P0,X,"10,11",12,"9,12",14,13,31.2,21,16,"11,12","9,10","13,15","20,22",6,8,18,,
J000099706,JAX,P1,"X,Y",10,"8,12","11,12",16,"14,16",29,24,14,12,"9,10","11,13",22,10,"8,12",17,,
J000099761,JAX,P1,"X,Y",,12,11,14,"14,15","29,30",24,17,"11,13",11,"12,14","24,25",9.3,10,"15,17",,
J000099873,JAX,P2,X,10,"8,11",13,13,15,"30,32",18,"14,15","11,13","12,14","13,14","20,23",7.3,"8,11","12,17",,
J000099999,JAX,P1,X,10,11,11,17,"14,16",28,20,16,11,10,10,22,9.3,"8,9",18,,
J000100365,JAX,P0,X,,"9,12","12,14","12,17","12,15","31,32",,17,"12,13",,"11,14",20,"8,9","11,12","15,19",,
